1. 모두의 네트워크
2. 실전 개발을 위한 자바 디자인 패턴
3. 핸즈온 머신러닝
4. 러닝 자바스크립트
5. 블록체인 무엇인가?
6. 소프트웨어 장인
7. 바쁜 팀장님 대신 알려주는 신입 PHP 개발자 안내서
8. 에버노트 생각서랍 만들기 : 실전편
9. 유튜브 체크리스트
10. 파이썬으로 웹 크롤러 만들기
11. 초보자를 위한 Java 200제 (2판)
12. 처음 배우는 블록체인
13. Node.js 마이크로서비스 코딩 공작소
14. 프리미어 프로 & 애프터 이펙트 CC 2018 무작정 따라하기
15. Hello Coding 프로그래밍
16. 파이썬 라이브러리를 활용한 머신러닝
17. Hello Coding 그림으로 개념을 이해하는 알고리즘
18. 인사이드 자바스크립트
19. 모두의 파이썬
20. Do it! Vue.js 입문
